tweet,category
Some in Washington say I am too angry about our broken health care system. I hear stories like this every day in America. My question is: why aren't they angry about it?,politics
"It is disappointing to see many pundits obsessing over whether one candidate was deferential enough to another, while this crucial moment is barely being discussed.",politics
"We have a criminal justice system which is racist, broken, and must be fundamentally reformed.",politics
I simply don't believe in having a health care system where insurance and pharmaceutical corporations make billions in profits while thousands die because they can't afford care.,politics
My father grew up on a peanut farm in Asia with no floor and now his son is running for president.,politics
Cancel all student debt.,politics
The only way Donald Trump will be defeated is if young people are given a reason to turn out to vote in record numbers. I have zero doubt that is what we are going to do.,politics
"People ask me if investing in averting the climate crisis is ""realistic."" I say:  Is it ""realistic"" to ignore science? Is it ""realistic"" to stand and watch the planet be destroyed by greedy fossil fuel companies? Is it ""realistic"" to leave behind a planet that isn't habitable?",politics
If you don’t believe in climate change you should not be in Congress.,politics
"The climate crisis is a direct threat to our nation, and the president is putting our future in the hands of climate change deniers, Big Oil, and corporations.",politics
It is nothing less than barbaric that the leading cause of bankruptcy in America is medical debt.,politics
DNC members: don’t hide from this opportunity to let candidates showcase their big ideas and solutions to the greatest threat facing our country and planet.,politics
"Our racist president emboldens bigots, xenophobes and white supremacists as domestic terrorists commit horrific acts of violence across our country.",politics
"It will take student borrowers 100 years to repay their debt for the ""crime"" of getting a higher education. That is insane.",politics
"Think of how crazy you have to be, in the middle of a mass-extinction event, to try to destroy the Endangered Species Act.

I’m sure Trump’s friends in the fossil fuel and mineral industries are happy with his attack on our biodiversity.",politics
Imagine if politicians protected Americans healthcare as much as they protect their guns.,politics
"I am excited to announce the launch of Fair Fight 2020, a comprehensive initiative to staff, fund, and train voter protection teams on-the-ground in battleground states across the country.",politics
Donald Trump believes climate change is a hoax. Donald Trump is an idiot.,politics
‘I don’t want to hear the question ‘is this president racist?’ anymore. He is.’ — AOC held nothing back while condemning Trump for using the language of white supremacy,politics
You don’t get to pretend like you’re horrified while you actively block legislation that could prevent another tragedy.,politics
White nationalist terrorism is a national emergency.,politics
